NAME,Price (in INR),Discount,Description,Original Price Claimed(in INR)
Maniac,271,68% off,"Solid Men Round Neck Dark Blue, Grey T-Shirt",846.875
Trendfull,197,80% off,Solid Men Hooded Neck Black T-Shirt,985.0
EG,299,62% off,Color block Men Round Neck Yellow T-Shirt,786.8421052631579
KAY S APPARELS,226,74% off,"Solid Men Hooded Black, Red T-Shirt",869.2307692307693
Dillinger,296,67% off,Striped Men Round Neck Grey T-Shirt,896.969696969697
EPG,537,58% off,Solid Men Polo Neck Light Blue T-Shirt,1278.5714285714287
Avni's,169,65% off,Graphic Print Men Round Neck Reversible White T-Shirt,482.85714285714283
The Dry State,673,66% off,Self Design Men & Women Round Neck Multicolor T-Shirt,1979.4117647058824
UZEE,422,64% off,Striped Men Round or Crew Multicolor T-Shirt,1172.2222222222222
ADIDAS,759,60% off,Solid Men Round Neck Green T-Shirt,1897.5
Rezalia,249,75% off,Striped Men Round Neck Maroon T-Shirt,996.0
Gritstones,399,60% off,Ombre Men Hooded Green T-Shirt,997.5
Black Collection,479,65% off,Solid Men Turtle Neck Yellow T-Shirt,1368.5714285714287
REEBOK,659,45% off,Solid Men Round Neck Black T-Shirt,1198.1818181818182
Highlander,328,53% off,"Printed Men Round or Crew Black, Grey T-Shirt",697.8723404255319
Billion,559,72% off,PerfectFit Solid Men Henley Multicolor T-Shirt,1996.4285714285713
Try This,399,60% off,Color Block Men Round Neck Black T-Shirt,997.5
Aelomart,424,71% off,"Striped Men Round Neck Light Green, Black T-Shirt",1462.0689655172414
Duke,599,40% off,Striped Men Polo Neck White T-Shirt,998.3333333333334
Try This,359,64% off,Self Design Men V-neck Blue T-Shirt,997.2222222222222
Helmont,233,76% off,"Striped Men Hooded Neck Blue, Grey T-Shirt",970.8333333333334
Elepants,260,78% off,"Color Block Men Round Neck Maroon, Black T-Shirt",1181.8181818181818
Rebozo,270,54% off,Checkered Men Round Neck Grey T-Shirt,586.9565217391304
Tripr,319,64% off,Abstract Men Hooded Neck Dark Blue T-Shirt,886.1111111111111
Duke,646,35% off,Striped Men Polo Neck Blue T-Shirt,993.8461538461538
Fabstone Collection,248,58% off,"Color block Men Round or Crew Black, Grey T-Shirt",590.4761904761905
UZEE,262,73% off,Printed Men Round Neck Blue T-Shirt,970.3703703703703
Himgiri International,359,76% off,"Graphic Print Men Round or Crew Red, Blue, Grey T-Shirt",1495.8333333333333
Tfurnish,322,67% off,Solid Men Hooded Blue T-Shirt,975.7575757575758
Tripr,259,71% off,Printed Men V-Neck Multicolor T-Shirt,893.1034482758621
Highlander,329,45% off,Solid Men Round Neck Multicolor T-Shirt,598.1818181818181
Duke,599,40% off,Striped Men Polo Neck Multicolor T-Shirt,998.3333333333334
Duke,239,40% off,Printed Men Round Neck Grey T-Shirt,398.3333333333333
NB NICKY BOY,269,75% off,Printed Men Round Neck Blue T-Shirt,1076.0
Fabstone Collection,248,58% off,"Color block Men Round or Crew Maroon, Black T-Shirt",590.4761904761905
Metronaut,227,62% off,Solid Men Round Neck Blue T-Shirt,597.3684210526316
Young Trendz,299,64% off,Printed Men Round or Crew Dark Blue T-Shirt,830.5555555555555
Duke,556,30% off,"Printed Men Round Neck Grey, Orange T-Shirt",794.2857142857143
Fabstone Collection,248,58% off,"Color block Men Round or Crew Black, Grey T-Shirt",590.4761904761905
Gritstones,233,61% off,Solid Men Round or Crew Black T-Shirt,597.4358974358975
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1398.5714285714287
Helmont,260,73% off,"Color Block Men Hooded Neck Black, White, Red T-Shirt",962.9629629629629
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Dark Blue T-Shirt,1398.5714285714287
Black Collection,463,57% off,Solid Men Turtle Neck Yellow T-Shirt,1076.7441860465117
GHPC,350,64% off,Striped Men Round Neck Dark Blue T-Shirt,972.2222222222222
Unisopent Designs,395,60% off,Military Camouflage Men Hooded Neck Green T-Shirt,987.5
Rezalia,249,75% off,Striped Men Round Neck Maroon T-Shirt,996.0
Arrow Sport,559,65% off,Solid Men Polo Neck Blue T-Shirt,1597.142857142857
Try This,699,41% off,Self Design Men V-Neck Multicolor T-Shirt,1184.7457627118645
Aelomart,381,74% off,"Solid Men Round or Crew Black, White T-Shirt",1465.3846153846155
U.S. Polo Assn,"1,049",30% off,Solid Men Polo Neck Light Blue T-Shirt,1498.5714285714287
JORKK,228,40% off,"Printed Men Round or Crew Blue, White T-Shirt",380.0
Duke,599,40% off,Solid Men Polo Neck Dark Blue T-Shirt,998.3333333333334
Young Trendz,299,64% off,Printed Men Round or Crew White T-Shirt,830.5555555555555
Dillinger,296,67% off,Striped Men Round Neck Grey T-Shirt,896.969696969697
U.S. Polo Assn,549,45% off,Printed Men Round Neck Blue T-Shirt,998.1818181818181
Rodid,346,55% off,Solid Men Round Neck Maroon T-Shirt,768.8888888888889
UZEE,247,75% off,Printed Men Round Neck Yellow T-Shirt,988.0
FLEXIMAA,399,63% off,Printed Men Round or Crew Blue T-Shirt,1078.3783783783783
Black Collection,439,60% off,Solid Men Flap Collar Neck Red T-Shirt,1097.5
SHAPPHR,248,79% off,Color Block Men Round Neck Yellow T-Shirt,1180.952380952381
GHPC,349,65% off,Striped Men Round or Crew Grey T-Shirt,997.1428571428571
SCATCHITE,322,67% off,Checkered Men Round Neck Red T-Shirt,975.7575757575758
REEBOK,674,55% off,Printed Men Round or Crew Blue T-Shirt,1497.7777777777778
Avni's,139,76% off,Printed Men Round Neck Reversible Multicolor T-Shirt,579.1666666666666
Duke,696,30% off,Printed Men Polo Neck Pink T-Shirt,994.2857142857143
UZEE,234,76% off,Printed Men Round Neck Yellow T-Shirt,975.0
WRODSS,273,72% off,"Printed, Striped Men Round Neck Black T-Shirt",975.0
GHPC,399,60% off,Color block Men Hooded Blue T-Shirt,997.5
Maniac,343,66% off,"Graphic Print Men Round or Crew Black, Grey T-Shirt",1008.8235294117648
UZEE,247,75% off,Solid Men Round or Crew Black T-Shirt,988.0
Duke,696,30% off,Printed Men Polo Neck Blue T-Shirt,994.2857142857143
Try This,359,64% off,Solid Men Henley Maroon T-Shirt,997.2222222222222
Duke,597,40% off,Striped Men Polo Neck Pink T-Shirt,995.0
Billion,183,77% off,"PerfectFit Solid Men V-Neck Grey, Black T-Shirt",795.6521739130435
GHPC,336,66% off,Solid Men Round or Crew Maroon T-Shirt,988.2352941176471
Friskers,381,59% off,Printed Men Round Neck Yellow T-Shirt,929.2682926829268
Wildcraft,492,62% off,Self Design Men Polo Neck Maroon T-Shirt,1294.7368421052631
Tfurnish,322,67% off,Solid Men Hooded Red T-Shirt,975.7575757575758
Fabstone Collection,248,58% off,"Color block Men Round or Crew Maroon, Black T-Shirt",590.4761904761905
Young Trendz,299,66% off,Graphic Print Men Round or Crew Orange T-Shirt,879.4117647058823
Black Collection,474,66% off,Solid Men Turtle Neck Blue T-Shirt,1394.1176470588234
Kay Dee,279,72% off,Solid Men Hooded Black T-Shirt,996.4285714285714
Duke,239,40% off,Printed Men Round Neck Grey T-Shirt,398.3333333333333
Jack & Jones,549,50% off,Printed Men Round Neck Black T-Shirt,1098.0
ADIDAS,749,50% off,Solid Men Round Neck Black T-Shirt,1498.0
Katso,246,62% off,FabTag - Katso Solid Men Hooded Dark Blue T-Shirt,647.3684210526316
KAY S APPARELS,283,68% off,Solid Men Hooded Blue T-Shirt,884.375
Duke,597,40% off,Striped Men Polo Neck Pink T-Shirt,995.0
Parx,419,65% off,"Striped Men Polo Neck Blue, Orange T-Shirt",1197.142857142857
Arrow Sport,985,42% off,Printed Men Polo Neck White T-Shirt,1698.2758620689656
FastColors,299,85% off,"Solid Men Round Neck Dark Blue, Black, Grey T-Shirt",1993.3333333333333
Levi's,499,50% off,Solid Men V-Neck Grey T-Shirt,998.0
Try This,381,61% off,Color block Men V-neck Maroon T-Shirt,976.9230769230769
Highlander,328,53% off,"Printed Men Round or Crew Black, Grey T-Shirt",697.8723404255319
Tripr,303,66% off,Printed Men Round Neck Dark Blue T-Shirt,891.1764705882352
London Hills,359,77% off,Striped Men Round Neck Black T-Shirt,1560.8695652173913
