NAME,Price (in INR),Discount,Description,Original Price Claimed(in INR), 
Dillinger,296,67% off,Striped Men Round Neck Grey T-Shirt,592,
Gritstones,399,60% off,Color block Men Hooded Green T-Shirt,798,
Arrow Sport,899,50% off,Striped Men Polo Neck Dark Blue T-Shirt,1798,
Maniac,271,68% off,"Solid Men Round or Crew Black, Grey T-Shirt",542,
Duke,556,30% off,"Printed Men Round Neck Grey, Orange T-Shirt",1112,
MARKS & SPENCER,748,25% off,Solid Men Polo Neck Blue T-Shirt,1496,
MoochSingh,246,75% off,Solid Men Round Neck White T-Shirt,492,
Kay Dee,277,72% off,"Color block Men Hooded Maroon, Black T-Shirt",554,
Canis,189,68% off,Graphic Print Men Round or Crew Multicolor T-Shirt,378,
Black Collection,463,57% off,Printed Men High Neck Multicolor T-Shirt,926,
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1958,
Metronaut,279,65% off,Printed Men Round Neck Black T-Shirt,558,
FANNZILA,135,83% off,Printed Men Round Neck White T-Shirt,270,
Fabstone Collection,248,58% off,Color block Men Round or Crew Maroon T-Shirt,496,
Tripr,288,67% off,Graphic Print Men Round or Crew Dark Blue T-Shirt,576,
Arrow Sport,558,57% off,Solid Men Polo Neck Pink T-Shirt,1116,
Rezalia,249,75% off,Striped Men Round Neck Maroon T-Shirt,498,
Gritstones,333,62% off,"Solid Men Hooded Black, Maroon T-Shirt",666,
Highlander,328,53% off,"Printed Men Round or Crew Black, Grey T-Shirt",656,
Fabstone Collection,248,58% off,"Color block Men Round or Crew Black, Grey T-Shirt",496,
SHAPPHR,242,84% off,"Color block Men Hooded Black, Red T-Shirt",484,
COBIO MAN,299,70% off,Graphic Print Men Round or Crew Red T-Shirt,598,
Duke,796,20% off,Printed Men Round Neck Multicolor T-Shirt,1592,
SCATCHITE,679,77% off,Checkered Men Round Neck White T-Shirt,1358,
Maniac,271,68% off,"Solid Men Round Neck Dark Blue, Grey T-Shirt",542,
Trendfull,197,80% off,Solid Men Hooded Neck Black T-Shirt,394,
EG,299,62% off,Color block Men Round Neck Yellow T-Shirt,598,
KAY S APPARELS,226,74% off,"Solid Men Hooded Black, Red T-Shirt",452,
Dillinger,296,67% off,Striped Men Round Neck Grey T-Shirt,592,
EPG,537,58% off,Solid Men Polo Neck Light Blue T-Shirt,1074,
Avni's,169,65% off,Graphic Print Men Round Neck Reversible White T-Shirt,338,
The Dry State,673,66% off,Self Design Men & Women Round Neck Multicolor T-Shirt,1346,
UZEE,422,64% off,Striped Men Round or Crew Multicolor T-Shirt,844,
ADIDAS,759,60% off,Solid Men Round Neck Green T-Shirt,1518,
Rezalia,249,75% off,Striped Men Round Neck Maroon T-Shirt,498,
Gritstones,399,60% off,Ombre Men Hooded Green T-Shirt,798,
Black Collection,479,65% off,Solid Men Turtle Neck Yellow T-Shirt,958,
REEBOK,659,45% off,Solid Men Round Neck Black T-Shirt,1318,
Highlander,328,53% off,"Printed Men Round or Crew Black, Grey T-Shirt",656,
Billion,559,72% off,PerfectFit Solid Men Henley Multicolor T-Shirt,1118,
Try This,399,60% off,Color Block Men Round Neck Black T-Shirt,798,
Aelomart,424,71% off,"Striped Men Round Neck Light Green, Black T-Shirt",848,
Duke,599,40% off,Striped Men Polo Neck White T-Shirt,1198,
Try This,359,64% off,Self Design Men V-neck Blue T-Shirt,718,
Helmont,233,76% off,"Striped Men Hooded Neck Blue, Grey T-Shirt",466,
Elepants,260,78% off,"Color Block Men Round Neck Maroon, Black T-Shirt",520,
Rebozo,270,54% off,Checkered Men Round Neck Grey T-Shirt,540,
Tripr,319,64% off,Abstract Men Hooded Neck Dark Blue T-Shirt,638,
Duke,646,35% off,Striped Men Polo Neck Blue T-Shirt,1292,
Fabstone Collection,248,58% off,"Color block Men Round or Crew Black, Grey T-Shirt",496,
UZEE,262,73% off,Printed Men Round Neck Blue T-Shirt,524,
Himgiri International,359,76% off,"Graphic Print Men Round or Crew Red, Blue, Grey T-Shirt",718,
Tfurnish,322,67% off,Solid Men Hooded Blue T-Shirt,644,
Tripr,259,71% off,Printed Men V-Neck Multicolor T-Shirt,518,
Highlander,329,45% off,Solid Men Round Neck Multicolor T-Shirt,658,
Duke,599,40% off,Striped Men Polo Neck Multicolor T-Shirt,1198,
Duke,239,40% off,Printed Men Round Neck Grey T-Shirt,478,
NB NICKY BOY,269,75% off,Printed Men Round Neck Blue T-Shirt,538,
Fabstone Collection,248,58% off,"Color block Men Round or Crew Maroon, Black T-Shirt",496,
Metronaut,227,62% off,Solid Men Round Neck Blue T-Shirt,454,
Young Trendz,299,64% off,Printed Men Round or Crew Dark Blue T-Shirt,598,
Duke,556,30% off,"Printed Men Round Neck Grey, Orange T-Shirt",1112,
Fabstone Collection,248,58% off,"Color block Men Round or Crew Black, Grey T-Shirt",496,
Gritstones,233,61% off,Solid Men Round or Crew Black T-Shirt,466,
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Yellow T-Shirt,1958,
Helmont,260,73% off,"Color Block Men Hooded Neck Black, White, Red T-Shirt",520,
U.S. Polo Assn,979,30% off,Solid Men Polo Neck Dark Blue T-Shirt,1958,
Black Collection,463,57% off,Solid Men Turtle Neck Yellow T-Shirt,926,
GHPC,350,64% off,Striped Men Round Neck Dark Blue T-Shirt,700,
Unisopent Designs,395,60% off,Military Camouflage Men Hooded Neck Green T-Shirt,790,
Rezalia,249,75% off,Striped Men Round Neck Maroon T-Shirt,498,
Arrow Sport,559,65% off,Solid Men Polo Neck Blue T-Shirt,1118,
Try This,699,41% off,Self Design Men V-Neck Multicolor T-Shirt,1398,
Aelomart,381,74% off,"Solid Men Round or Crew Black, White T-Shirt",762,
U.S. Polo Assn,"1,049",30% off,Solid Men Polo Neck Light Blue T-Shirt,2098,
JORKK,228,40% off,"Printed Men Round or Crew Blue, White T-Shirt",456,
Duke,599,40% off,Solid Men Polo Neck Dark Blue T-Shirt,1198,
Young Trendz,299,64% off,Printed Men Round or Crew White T-Shirt,598,
Dillinger,296,67% off,Striped Men Round Neck Grey T-Shirt,592,
U.S. Polo Assn,549,45% off,Printed Men Round Neck Blue T-Shirt,1098,
Rodid,346,55% off,Solid Men Round Neck Maroon T-Shirt,692,
UZEE,247,75% off,Printed Men Round Neck Yellow T-Shirt,494,
FLEXIMAA,399,63% off,Printed Men Round or Crew Blue T-Shirt,798,
Black Collection,439,60% off,Solid Men Flap Collar Neck Red T-Shirt,878,
SHAPPHR,248,79% off,Color Block Men Round Neck Yellow T-Shirt,496,
GHPC,349,65% off,Striped Men Round or Crew Grey T-Shirt,698,
SCATCHITE,322,67% off,Checkered Men Round Neck Red T-Shirt,644,
